體育,#genre#
TNTSport1,http://gat.zhoujie218.top/beesport/TNT_Sports_1
TNTSport2,http://gat.zhoujie218.top/beesport/TNT_Sports_2
TNTSport3,http://gat.zhoujie218.top/beesport/TNT_Sports_3
TNTSport4,http://gat.zhoujie218.top/beesport/TNT_Sports_4
SkySportsFootball,http://gat.zhoujie218.top/beesport/Sky_Sports_Football_Live_TV
SkySportsMainEvent,http://gat.zhoujie218.top/beesport/Sky_Sports_Main_Event
SkySportsPremierLeague,http://gat.zhoujie218.top/beesport/Sky_Sports_Premier_League
SkySportsAction,http://gat.zhoujie218.top/beesport/Sky_Sports_Action_Live_TV
SkySportsMix,http://gat.zhoujie218.top/beesport/Sky_Sports_Mix_Live_TV
SkySportsArena,http://gat.zhoujie218.top/beesport/Sky_Sports_Arena_Live_TV
SkySportsNews,http://gat.zhoujie218.top/beesport/Sky_Sports_News_Live_TV
SkySportsCricket,http://gat.zhoujie218.top/beesport/Sky_Sports_Cricket_Live_TV
SkySportsTennis,http://gat.zhoujie218.top/beesport/Sky_Sports_Tennis
SkySportsF1,http://gat.zhoujie218.top/beesport/Sky_Sports_F1_Live_TV
SkySportsGolf,http://gat.zhoujie218.top/beesport/Sky_Sports_Golf_Live_TV
SkySportsRacing,http://gat.zhoujie218.top/beesport/Sky_Sports_Racing_Live_TV
TennisChannel,http://gat.zhoujie218.top/beesport/Tennis_Channel_Live_TV
LaLigaTV,http://gat.zhoujie218.top/beesport/La_Liga_TV_Live_TV
DAZN,http://gat.zhoujie218.top/beesport/DAZN_Live_TV
BeinSportsUSA,http://gat.zhoujie218.top/beesport/Bein_Sports_USA_Live_TV
BeinSportsEnglish2,http://gat.zhoujie218.top/beesport/Bein_Sports_English_2_Live_TV
SuperSportPremierLeague,http://gat.zhoujie218.top/beesport/SuperSport_Premier_League_Live_TV
SuperSportLaLiga,http://gat.zhoujie218.top/beesport/SuperSport_LaLiga_Live_TV
SuperSportAction,http://gat.zhoujie218.top/beesport/SuperSport_Action_Live_TV
SuperSportBlitz,http://gat.zhoujie218.top/beesport/SuperSport_Blitz_Live_TV
SuperSportCricket,http://gat.zhoujie218.top/beesport/SuperSport_Cricket_Live_TV
SuperSportFootball,http://gat.zhoujie218.top/beesport/SuperSport_Football_Live_TV
SuperSportGolf,http://gat.zhoujie218.top/beesport/SuperSport_Golf_Live_TV
SuperSportRugby,http://gat.zhoujie218.top/beesport/SuperSport_Rugby_Live_TV
SuperSportTennis,http://gat.zhoujie218.top/beesport/SuperSport_Tennis_Live_TV
Variety1,http://gat.zhoujie218.top/beesport/Variety_1_Live_TV
Variety2,http://gat.zhoujie218.top/beesport/Variety_2_Live_TV
Variety3,http://gat.zhoujie218.top/beesport/Variety_3_Live_TV
Variety4,http://gat.zhoujie218.top/beesport/Variety_4_Live_TV
Eurosport1,http://gat.zhoujie218.top/beesport/Eurosport_1_Live_TV
Eurosport2,http://gat.zhoujie218.top/beesport/Eurosport_2_Live_TV
PremierSports1,http://gat.zhoujie218.top/beesport/Premier_Sports_1
PremierSports2,http://gat.zhoujie218.top/beesport/Premier_Sports_2
GolfChannel,http://gat.zhoujie218.top/beesport/Golf_Channel_Live_TV
MLBNetwork,http://gat.zhoujie218.top/beesport/MLB_Network_Live_TV
NBATV,http://gat.zhoujie218.top/beesport/NBA_TV_Live_TV
NFLNetwork,http://gat.zhoujie218.top/beesport/NFL_Network_Live_TV
NFLRedzone,http://gat.zhoujie218.top/beesport/NFL_REDZONE_Live_TV
NHLNetwork,http://gat.zhoujie218.top/beesport/NHL_Network_Live_TV
WWE,http://gat.zhoujie218.top/beesport/WWE_Live_TV
WillowCricket,http://gat.zhoujie218.top/beesport/Willow_Cricket_Live_TV
WillowExtra,http://gat.zhoujie218.top/beesport/Willow_Extra_Live_TV
WorldFishingNetwork,http://gat.zhoujie218.top/beesport/World_Fishing_Network_Live_TV
FightNetwork,http://gat.zhoujie218.top/beesport/Fight_Network_Live_TV
ESPN,http://gat.zhoujie218.top/beesport/ESPN_Live_TV
ESPN2,http://gat.zhoujie218.top/beesport/ESPN_2_Live_TV
ESPNNews,http://gat.zhoujie218.top/beesport/ESPN_News_Live_TV
ESPNU,http://gat.zhoujie218.top/beesport/ESPN_U_Live_TV
MUTV,http://gat.zhoujie218.top/beesport/MUTV_Live_TV
LFCTV,http://gat.zhoujie218.top/beesport/LFC_TV_Live_TV
ACCNetwork,http://gat.zhoujie218.top/beesport/ACC_Network_Live_TV
CBSSportsNetwork,http://gat.zhoujie218.top/beesport/CBS_Sports_Network_Live_TV
FoxSports1,http://gat.zhoujie218.top/beesport/Fox_Sports_1_Live_TV
FoxSports2,http://gat.zhoujie218.top/beesport/Fox_Sports_2_Live_TV


戲劇電影,#genre#
HBO1,http://gat.zhoujie218.top/beesport/HBO_Live_TV
HBO2,http://gat.zhoujie218.top/beesport/HBO_2_Live_TV
CinemaxWest,http://gat.zhoujie218.top/beesport/Cinemax_West_Live_TV
GreatMovies,http://gat.zhoujie218.top/beesport/UK_Great_Movies_Live_TV
SkyCinemaComedy,http://gat.zhoujie218.top/beesport/UK_Sky_Cinema_Comedy_Live_TV
SkyCinemaFamily,http://gat.zhoujie218.top/beesport/UK_Sky_Cinema_Family_Live_TV
ITV1,http://gat.zhoujie218.top/beesport/ITV_1
ITV2,http://gat.zhoujie218.top/beesport/ITV_2
ITV3,http://gat.zhoujie218.top/beesport/ITV_3
ITV4,http://gat.zhoujie218.top/beesport/ITV_4


探索自然,#genre#
