江西本地,#genre#

江西卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225557/iptv7969.smil
江西都市频道,rtsp://115.153.254.81/PLTV/88888888/224/3221226728/53707442.smil
江西经济生活,rtsp://115.153.254.81/PLTV/88888888/224/3221226717/53707446.smil
江西影视旅游,rtsp://115.153.254.81/PLTV/88888888/224/3221226704/53213102.smil
江西公共农业,rtsp://115.153.254.81/PLTV/88888888/224/3221227066/95315400.smil
江西少儿,rtsp://115.153.254.81/PLTV/88888888/224/3221226724/53707450.smil
江西新闻,rtsp://115.153.254.81/PLTV/88888888/224/3221226654/53213094.smil
江西教育,rtsp://115.153.254.81/PLTV/88888888/224/3221226568/10000100000000060000000002002624_0.smil

江西卫视,http://192.168.1.254:8888/udp/239.252.220.63:5140
江西都市,http://192.168.1.254:8888/udp/239.252.220.238:5140
江西经济生活,http://192.168.1.254:8888/udp/239.252.219.173:5140
江西经济生活,http://192.168.1.254:8888/udp/239.252.220.110:5140
江西影视旅游,http://192.168.1.254:8888/udp/239.252.220.242:5140
江西公共农业,http://192.168.1.254:8888/udp/239.252.220.102:5140
江西少儿,http://192.168.1.254:8888/udp/239.252.219.113:5140
江西新闻,http://192.168.1.254:8888/udp/239.252.220.100:5140
江西移动电视,http://192.168.1.254:8888/udp/239.252.220.241:5140
江西陶瓷,http://192.168.1.254:8888/udp/239.252.220.243:5140
江西教育,http://192.168.1.254:8888/udp/239.252.219.115:5140
江西live,http://192.168.1.254:8888/udp/239.252.219.187:5140


央视频道,#genre#
CCTV1,rtsp://115.153.254.81/PLTV/88888888/224/3221225517/iptv7949.smil
CCTV2,rtsp://115.153.254.81/PLTV/88888888/224/3221225519/iptv7950.smil
CCTV3,rtsp://115.153.254.81/PLTV/88888888/224/3221226837/63145950.smil
CCTV4,rtsp://115.153.254.81/PLTV/88888888/224/3221225521/iptv7951.smil
CCTV5,rtsp://115.153.254.81/PLTV/88888888/224/3221226835/63145836.smil
CCTV6,rtsp://115.153.254.81/PLTV/88888888/224/3221226839/63145891.smil
CCTV7,rtsp://115.153.254.81/PLTV/88888888/224/3221225523/iptv7952.smil
CCTV8,rtsp://115.153.254.81/PLTV/88888888/224/3221226850/63145890.smil
CCTV9,rtsp://115.153.254.81/PLTV/88888888/224/3221226792/55683313.smil
CCTV10,rtsp://115.153.254.81/PLTV/88888888/224/3221225527/iptv7954.smil
CCTV11,rtsp://115.153.254.81/PLTV/88888888/224/3221225529/iptv7955.smil
CCTV12,rtsp://115.153.254.81/PLTV/88888888/224/3221225531/iptv7956.smil
CCTV13,rtsp://115.153.254.81/PLTV/88888888/224/3221225533/iptv7957.smil
CCTV14,rtsp://115.153.254.81/PLTV/88888888/224/3221225535/iptv7958.smil
CCTV15,rtsp://115.153.254.81/PLTV/88888888/224/3221225537/iptv7959.smil
CCTV17,rtsp://115.153.254.81/PLTV/88888888/224/3221226848/61397333.smil
CETV1,rtsp://115.153.254.81/PLTV/88888888/224/3221225751/iptv101710.smil
CGTV,rtsp://115.153.254.81/PLTV/88888888/224/3221226694/55738457.smil
CCTV4欧洲,rtsp://115.153.254.81/PLTV/88888888/224/3221226964/77799053.smil
CCTV4美洲,rtsp://115.153.254.81/PLTV/88888888/224/3221226962/77799052.smil
CGTN,rtsp://115.153.254.81/PLTV/88888888/224/3221226694/55738457.smil
CGTN-英语,rtsp://115.153.254.81/PLTV/88888888/224/3221226947/77798966.smil
CGTN-英文纪录,rtsp://115.153.254.81/PLTV/88888888/224/3221226960/77798993.smil
CGTN-西班牙语,rtsp://115.153.254.81/PLTV/88888888/224/3221226949/77798970.smil
CGTN-法语,rtsp://115.153.254.81/PLTV/88888888/224/3221226968/77799060.smil
CGTN-阿拉伯语,rtsp://115.153.254.81/PLTV/88888888/224/3221226951/77799001.smil
CGTN-俄语,rtsp://115.153.254.81/PLTV/88888888/224/3221226966/77798997.smil
导视,rtsp://115.153.254.81/PLTV/88888888/224/3221225623/iptv8002.smil
Discovery全纪实,rtsp://115.153.254.81/PLTV/88888888/224/3221225605/iptv7993.smil


CCTV1,http://192.168.1.254:8888/udp/239.252.219.200:5140
CCTV2,http://192.168.1.254:8888/udp/239.252.220.183:5140
CCTV3,http://192.168.1.254:8888/udp/239.252.219.252:5140
CCTV4,http://192.168.1.254:8888/udp/239.252.220.184:5140
CCTV5,http://192.168.1.254:8888/udp/239.252.219.236:5140
CCTV5+,http://192.168.1.254:8888/udp/239.252.219.72:5140
CCTV6,http://192.168.1.254:8888/udp/239.252.219.237:5140
CCTV7,http://192.168.1.254:8888/udp/239.252.220.185:5140
CCTV8,http://192.168.1.254:8888/udp/239.252.219.253:5140
CCTV9,http://192.168.1.254:8888/udp/239.252.220.186:5140
CCTV10,http://192.168.1.254:8888/udp/239.252.220.91:5140
CCTV11,http://192.168.1.254:8888/udp/239.252.219.78:5140
CCTV12,http://192.168.1.254:8888/udp/239.252.220.187:5140
CCTV13,http://192.168.1.254:8888/udp/239.252.219.139:5140
CCTV14,http://192.168.1.254:8888/udp/239.252.220.92:5140
CCTV15,http://192.168.1.254:8888/udp/239.252.219.79:5140
CCTV16,http://192.168.1.254:8888/udp/239.252.220.237:5140
CCTV17,http://192.168.1.254:8888/udp/239.252.220.192:5140
CCTV4欧洲,http://192.168.1.254:8888/udp/239.252.219.192:5140
CCTV4美洲,http://192.168.1.254:8888/udp/239.252.219.193:5140
CGTN,http://192.168.1.254:8888/udp/239.252.220.150:5140
CGTN英语,http://192.168.1.254:8888/udp/239.252.219.194:5140
CGTN西语,http://192.168.1.254:8888/udp/239.252.219.1965140
