綜合,#genre#
yt_cs,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/youtube/HFib76ySpbU
民視,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv155
民視第一台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv003
民視台灣台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv001
中視,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv040
中視菁采台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv064
中天亞洲台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv109
華視,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv041
靖天綜合台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv046
靖天國際台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv063
靖天日本台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv047
三立綜合台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/169
台視,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv066
ArirangTV,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv079
BloombergTV,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/283
Virgin1,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/UK_Virgin_1
Virgin2,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/UK_Virgin_2
Virgin3,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/UK_Virgin_3
 
 


新聞財經,#genre#
民視新聞台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/litv-ftv13
中視新聞台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv074
中天新聞台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv009
華視新聞,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv052
靖天資訊台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv065
寰宇新聞台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/litv-longturn14
寰宇新聞台灣台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/litv-longturn15
寰宇財經台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/litv-longturn23
TVBS新聞台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv072
三立新聞,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/229
台視新聞台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv051
台視財經台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv056
東森新聞,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv152
東森財經新聞,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv153
非凡新聞台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv010
非凡商業台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv048
鏡電視新聞台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv075
CNBCAsia財經台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/235
VOA美國之音,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/litv-ftv03
DW德國之聲,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/226
SBN全球財經台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/224
半島國際新聞台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/litv-ftv10
第1商業台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv104


電影戲劇,#genre#
民視影劇台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/litv-ftv09
中視經典台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv080
靖天戲劇台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv058
靖天電影台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv061
龍華戲劇台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/litv-longturn18
龍華經典台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/litv-longturn21
龍華電影台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/litv-longturn03
靖洋戲劇台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv045
TVBS台劇台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/285
影迷數位紀實台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/212
影迷數位電影台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv011
AMC最愛電影,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv017
CatchPlay電影台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv076
MyCinemaEuropeHD我的歐洲電影,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/176
