央视,#genre#
CCTV1,https://pix.my.proton218.top:8443/itv/wasusyt/6000000001000029752
CCTV150FPS,https://pix.my.proton218.top:8443/itv/bestzb/5000000004000002226
CCTV1HEVC,https://pix.my.proton218.top:8443/itv/ystenlive/1000000005000265001
CCTV2,https://pix.my.proton218.top:8443/itv/ystenlive/1000000001000023315
CCTV250FPS,https://pix.my.proton218.top:8443/itv/wasusyt/6000000001000014161
CCTV2HEVC,https://pix.my.proton218.top:8443/itv/ystenlive/1000000001000023315
CCTV3,https://pix.my.proton218.top:8443/itv/wasusyt/6000000001000022313
CCTV3HEVC,https://pix.my.proton218.top:8443/itv/ystenlive/1000000005000265003
CCTV450FPS,https://pix.my.proton218.top:8443/itv/bestzb/5000000011000031102
CCTV4HEVC,https://pix.my.proton218.top:8443/itv/ystenlive/1000000005000265004
CCTV5,https://pix.my.proton218.top:8443/itv/ystenlive/1000000005000025222
CCTV5HEVC,https://pix.my.proton218.top:8443/itv/ystenlive/1000000005000265005
CCTV5+,https://pix.my.proton218.top:8443/itv/wasusyt/6000000001000015875
CCTV5+HEVC,https://pix.my.proton218.top:8443/itv/ystenlive/1000000005000265016
CCTV6,https://pix.my.proton218.top:8443/itv/ystenlive/1000000001000001737
CCTV650FPS,https://pix.my.proton218.top:8443/itv/wasusyt/6000000001000004574
CCTV6HEVC,https://pix.my.proton218.top:8443/itv/ystenlive/1000000005000265006
CCTV7,https://pix.my.proton218.top:8443/itv/ystenlive/1000000001000024341
CCTV750FPS,https://pix.my.proton218.top:8443/itv/wasusyt/6000000001000009055
CCTV7HEVC,https://pix.my.proton218.top:8443/itv/ystenlive/1000000005000265007
CCTV8,https://pix.my.proton218.top:8443/itv/wasusyt/6000000001000001070
CCTV8HEVC,https://pix.my.proton218.top:8443/itv/ystenlive/1000000005000265008
CCTV9,https://pix.my.proton218.top:8443/itv/ystenlive/1000000001000014583
CCTV950FPS,https://pix.my.proton218.top:8443/itv/wasusyt/6000000001000032162
CCTV9HEVC,https://pix.my.proton218.top:8443/itv/ystenlive/1000000005000265009
CCTV10,https://pix.my.proton218.top:8443/itv/ystenlive/1000000001000023734
CCTV1050FPS,https://pix.my.proton218.top:8443/itv/bestzb/5000000004000012827
CCTV10HEVC,https://pix.my.proton218.top:8443/itv/ystenlive/1000000005000265010
CCTV1150FPS,https://pix.my.proton218.top:8443/itv/bestzb/5000000011000031106
CCTV11HEVC,https://pix.my.proton218.top:8443/itv/ystenlive/1000000005000265011
