tvg-name,tvg-id,tvg-logo,group-title,link
CCTV1,CCTV1,https://epg.112114.xyz/logo/CCTV1.png,央视频道,http://115.153.254.81/PLTV/88888888/224/3221225699/iptv8040.smil/index.m3u8?fmt=ts2hls
CCTV1,CCTV1,https://epg.112114.xyz/logo/CCTV1.png,央视频道,http://115.153.254.81/PLTV/88888888/224/3221225517/iptv7949.smil/index.m3u8?fmt=ts2hls
CCTV2,CCTV2,https://epg.112114.xyz/logo/CCTV2.png,央视频道,http://115.153.254.81/PLTV/88888888/224/3221226825/59814584.smil/index.m3u8?fmt=ts2hls
CCTV4,CCTV4,https://epg.112114.xyz/logo/CCTV4.png,央视频道,http://115.153.254.81/PLTV/88888888/224/3221226838/59814684.smil/index.m3u8?fmt=ts2hls
CCTV7,CCTV7,https://epg.112114.xyz/logo/CCTV7.png,央视频道,http://115.153.254.81/PLTV/88888888/224/3221226827/59814693.smil/index.m3u8?fmt=ts2hls
CCTV9,CCTV9,https://epg.112114.xyz/logo/CCTV9.png,央视频道,http://115.153.254.81/PLTV/88888888/224/3221226840/59814699.smil/index.m3u8?fmt=ts2hls
CCTV10,CCTV10,https://epg.112114.xyz/logo/CCTV10.png,央视频道,http://115.153.254.81/PLTV/88888888/224/3221226630/51813372.smil/index.m3u8?fmt=ts2hls
CCTV11,CCTV11,https://epg.112114.xyz/logo/CCTV11.png,央视频道,http://115.153.254.81/PLTV/88888888/224/3221226986/85722616.smil/index.m3u8?fmt=ts2hls
CCTV12,CCTV12,https://epg.112114.xyz/logo/CCTV12.png,央视频道,http://115.153.254.81/PLTV/88888888/224/3221226829/59814709.smil/index.m3u8?fmt=ts2hls
CCTV13,CCTV13,https://epg.112114.xyz/logo/CCTV13.png,央视频道,http://115.153.254.81/PLTV/88888888/224/3221227037/87447722.smil/index.m3u8?fmt=ts2hls
CCTV14,CCTV14,https://epg.112114.xyz/logo/CCTV14.png,央视频道,http://115.153.254.81/PLTV/88888888/224/3221226634/51813368.smil/index.m3u8?fmt=ts2hls
CCTV15,CCTV15,https://epg.112114.xyz/logo/CCTV15.png,央视频道,http://115.153.254.81/PLTV/88888888/224/3221226988/85722541.smil/index.m3u8?fmt=ts2hls
CCTV16,CCTV16,https://epg.112114.xyz/logo/CCTV16.png,央视频道,http://115.153.254.81/PLTV/88888888/224/3221227051/92603106.smil/index.m3u8?fmt=ts2hls
CCTV17,CCTV17,https://epg.112114.xyz/logo/CCTV17.png,央视频道,http://115.153.254.81/PLTV/88888888/224/3221226846/61397282.smil/index.m3u8?fmt=ts2hls
CCTV4HD欧洲,CCTV4HD欧洲,https://epg.112114.xyz/logo/CCTV4HD欧洲.png,央视频道,http://115.153.254.81/PLTV/88888888/224/3221226964/77799053.smil/index.m3u8?fmt=ts2hls
CCTV4HD美洲,CCTV4HD美洲,https://epg.112114.xyz/logo/CCTV4HD美洲.png,央视频道,http://115.153.254.81/PLTV/88888888/224/3221226962/77799052.smil/index.m3u8?fmt=ts2hls
CCTV4K,CCTV4K,https://epg.112114.xyz/logo/CCTV4K.png,央视频道,http://115.153.254.81/PLTV/88888888/224/3221227073/106537394.smil/index.m3u8?fmt=ts2hls
CGTN,CGTN,https://epg.112114.xyz/logo/CGTN.png,央视频道,http://115.153.254.81/PLTV/88888888/224/3221226694/55738457.smil/index.m3u8?fmt=ts2hls
CGTN英语,CGTN英语,https://epg.112114.xyz/logo/CGTN英语.png,央视频道,http://115.153.254.81/PLTV/88888888/224/3221226947/77798966.smil/index.m3u8?fmt=ts2hls
CGTN法语,CGTN法语,https://epg.112114.xyz/logo/CGTN法语.png,央视频道,http://115.153.254.81/PLTV/88888888/224/3221226968/77799060.smil/index.m3u8?fmt=ts2hls
CGTN俄语,CGTN俄语,https://epg.112114.xyz/logo/CGTN俄语.png,央视频道,http://115.153.254.81/PLTV/88888888/224/3221226966/77798997.smil/index.m3u8?fmt=ts2hls
CGTN英语,CGTN英语,https://epg.112114.xyz/logo/CGTN英语.png,央视频道,http://115.153.254.81/PLTV/88888888/224/3221226960/77798993.smil/index.m3u8?fmt=ts2hls
CGTN西语,CGTN西语,https://epg.112114.xyz/logo/CGTN西语.png,央视频道,http://115.153.254.81/PLTV/88888888/224/3221226949/77798970.smil/index.m3u8?fmt=ts2hls
CGTN阿语,CGTN阿语,https://epg.112114.xyz/logo/CGTN阿语.png,央视频道,http://115.153.254.81/PLTV/88888888/224/3221226951/77799001.smil/index.m3u8?fmt=ts2hls
第一剧场,第一剧场,https://epg.112114.xyz/logo/第一剧场.png,央视频道,http://115.153.254.81/PLTV/88888888/224/3221226961/86128891.smil/index.m3u8?fmt=ts2hls
风云音乐,风云音乐,https://epg.112114.xyz/logo/风云音乐.png,央视频道,http://115.153.254.81/PLTV/88888888/224/3221226994/86128897.smil/index.m3u8?fmt=ts2hls
风云剧场,风云剧场,https://epg.112114.xyz/logo/风云剧场.png,央视频道,http://115.153.254.81/PLTV/88888888/224/3221226963/86128874.smil/index.m3u8?fmt=ts2hls
怀旧剧场,怀旧剧场,https://epg.112114.xyz/logo/怀旧剧场.png,央视频道,http://115.153.254.81/PLTV/88888888/224/3221226996/86128881.smil/index.m3u8?fmt=ts2hls
