央视,#genre#
CCTV1,http://gat.zhoujie218.top/sxg/CCTV-1H265
CCTV2,http://gat.zhoujie218.top/sxg/CCTV-2H265
CCTV3,http://gat.zhoujie218.top/sxg/CCTV-3H265
CCTV4,http://gat.zhoujie218.top/sxg/CCTV-4H265
CCTV5,http://gat.zhoujie218.top/sxg/CCTV-5H265
CCTV5+,http://gat.zhoujie218.top/sxg/CCTV-5plusH265
CCTV6,http://gat.zhoujie218.top/sxg/CCTV-6H265
CCTV7,http://gat.zhoujie218.top/sxg/CCTV-7H265
CCTV8,http://gat.zhoujie218.top/sxg/CCTV-8H265
CCTV9,http://gat.zhoujie218.top/sxg/CCTV-9H265
CCTV10,http://gat.zhoujie218.top/sxg/CCTV-10H265
CCTV11,http://gat.zhoujie218.top/sxg/CCTV-11-H265
CCTV12,http://gat.zhoujie218.top/sxg/CCTV-12H265
CCTV13,http://gat.zhoujie218.top/sxg/CCTV-xw
CCTV14,http://gat.zhoujie218.top/sxg/CCTV-14H265
CCTV15,http://gat.zhoujie218.top/sxg/CCTV-15-yyH265
CCTV16,http://gat.zhoujie218.top/sxg/CCTV-16
CCTV164K,http://gat.zhoujie218.top/sxg/CCTV-16-4K
CCTV17,http://gat.zhoujie218.top/sxg/CCTV-17
CCTV4K,http://gat.zhoujie218.top/sxg/ys4Kcq
CETV-1,http://gat.zhoujie218.top/sxg/CETV-1H264


卫视,#genre#
安徽卫视,http://gat.zhoujie218.top/sxg/ahwsH265
北京卫视,http://gat.zhoujie218.top/sxg/bjwsH265
重庆卫视,http://gat.zhoujie218.top/sxg/cqwsH265
东方卫视,http://gat.zhoujie218.top/sxg/dfwsH265
东南卫视,http://gat.zhoujie218.top/sxg/dnwsfjwsH265
甘肃卫视,http://gat.zhoujie218.top/sxg/gsws
广东卫视,http://gat.zhoujie218.top/sxg/gdwsH265
贵州卫视,http://gat.zhoujie218.top/sxg/gzwsH265
河南卫视,http://gat.zhoujie218.top/sxg/hnws35
黑龙江卫视,http://gat.zhoujie218.top/sxg/hljwsH265
湖北卫视,http://gat.zhoujie218.top/sxg/hbwsH265
湖南卫视,http://gat.zhoujie218.top/sxg/hnwsH265
