央视,#genre#
CCTV1,https://pix.my.zhoujie218.top:8443/tptv/G_CCTV-1-AVS-4K264?type=origin
CCTV2,https://pix.my.zhoujie218.top:8443/tptv/G_CCTV-2-HD-265-8M?type=origin
CCTV3,https://pix.my.zhoujie218.top:8443/tptv/G_CCTV-3-AVS-4K264?type=origin
CCTV4,https://pix.my.zhoujie218.top:8443/tptv/G_CCTV-4-HD-265-8M?type=origin
CCTV5,https://pix.my.zhoujie218.top:8443/tptv/G_CCTV-5-AVS-4K264?type=origin
CCTV5+,https://pix.my.zhoujie218.top:8443/tptv/G_CCTV-5PLUS-HD-265-8M?type=origin
CCTV6,https://pix.my.zhoujie218.top:8443/tptv/G_CCTV-6-AVS-4K264?type=origin
CCTV7,https://pix.my.zhoujie218.top:8443/tptv/G_CCTV-7-HD-265-8M?type=origin
CCTV8,https://pix.my.zhoujie218.top:8443/tptv/G_CCTV-8-AVS-4K264?type=origin
CCTV9,https://pix.my.zhoujie218.top:8443/tptv/G_CCTV-9-HD-265-8M?type=origin
CCTV10,https://pix.my.zhoujie218.top:8443/tptv/G_CCTV-10-HD-265-8M?type=origin
CCTV11,https://pix.my.zhoujie218.top:8443/tptv/H265-5500k-1080P-cctv11?type=origin
CCTV12,https://pix.my.zhoujie218.top:8443/tptv/G_CCTV-12-HD-265-8M?type=origin
CCTV13,https://pix.my.zhoujie218.top:8443/tptv/G_CCTV-13-HD-265-8M?type=origin
CCTV14,https://pix.my.zhoujie218.top:8443/tptv/G_CCTV-14-CQ?type=origin
CCTV15,https://pix.my.zhoujie218.top:8443/tptv/H265-5500k-1080P-cctv15?type=origin
CCTV16,https://pix.my.zhoujie218.top:8443/tptv/G_CCTV-16-CQ?type=origin
CCTV164K,https://pix.my.zhoujie218.top:8443/tptv/G_CCTV-16-4K?type=origin
CCTV17,https://pix.my.zhoujie218.top:8443/tptv/G_CCTV-17-CQ?type=origin
CCTV4K,https://pix.my.zhoujie218.top:8443/tptv/G_CCTV-4K-HD?type=origin
CCTV世界地理,https://pix.my.zhoujie218.top:8443/tptv/G_SHIJIEDL-CQ?type=origin
CCTV风云剧场,https://pix.my.zhoujie218.top:8443/tptv/G_FENGYUNJC-CQ?type=origin
CCTV风云足球,https://pix.my.zhoujie218.top:8443/tptv/G_FENGSHANGZQ-CQ?type=origin
CCTV风云音乐,https://pix.my.zhoujie218.top:8443/tptv/G_FENGYUNYY-CQ?type=origin
CCTV兵器科技,https://pix.my.zhoujie218.top:8443/tptv/G_BINGQIKJ-CQ?type=origin
CCTV央视台球,https://pix.my.zhoujie218.top:8443/tptv/G_TAIQIU-CQ?type=origin
CCTV高尔夫网球,https://pix.my.zhoujie218.top:8443/tptv/G_CCTV-GOLF-CQ?type=origin
CCTV女性时尚,https://pix.my.zhoujie218.top:8443/tptv/G_NVXINGSS-CQ?type=origin
CCTV电视指南,https://pix.my.zhoujie218.top:8443/tptv/G_DIANSHIZN-CQ?type=origin
CCTV第一剧场,https://pix.my.zhoujie218.top:8443/tptv/G_DIYIJC-CQ?type=origin
CCTV怀旧剧场,https://pix.my.zhoujie218.top:8443/tptv/G_HUAIJIUJC-CQ?type=origin
CCTV央视文化精品,https://pix.my.zhoujie218.top:8443/tptv/G_CCTV-WENHUA-CQ?type=origin
CETV早期教育,https://pix.my.zhoujie218.top:8443/tptv/G_CETV-ZQJY-CQ?type=origin


卫视,#genre#
江苏卫视,https://pix.my.zhoujie218.top:8443/tptv/G_JIANGSU-HD-265-8M?type=origin
东方卫视,https://pix.my.zhoujie218.top:8443/tptv/G_DONGFANG-HD-265-8M?type=origin
北京卫视,https://pix.my.zhoujie218.top:8443/tptv/G_BEIJING-HD-265-8M?type=origin
广东卫视,https://pix.my.zhoujie218.top:8443/tptv/G_GUANGDONG-HD-265-8M?type=origin
山东卫视,https://pix.my.zhoujie218.top:8443/tptv/G_SHANDONG-HD-265-8M?type=origin
深圳卫视,https://pix.my.zhoujie218.top:8443/tptv/G_SHENZHEN-HD-265-8M?type=origin
湖北卫视,https://pix.my.zhoujie218.top:8443/tptv/G_HUBEI-HD-265-8M?type=origin
湖南卫视,https://pix.my.zhoujie218.top:8443/tptv/G_HUNAN-HD-265-8M?type=origin
浙江卫视,https://pix.my.zhoujie218.top:8443/tptv/G_ZHEJIANG-HD-265-8M?type=origin
黑龙江卫视,https://pix.my.zhoujie218.top:8443/tptv/G_HEILONGJIANG-HD-265-8M?type=origin
天津卫视,https://pix.my.zhoujie218.top:8443/tptv/G_TIANJIN-HD-265-8M?type=origin
安徽卫视,https://pix.my.zhoujie218.top:8443/tptv/G_ANHUI-HD-265-8M?type=origin
